 Período ;Año;Quito-1;Quito-2;Quito-3;Guayaquil-1;Guayaquil-2;Guayaquil-3;Cuenca-1;Cuenca-2;Cuenca-3;Machala-1;Machala-2;Machala-3;Ambato-1;Ambato-2;Ambato-3
-;-;Incidencia-1;Brecha-2;Severidad-3;Incidencia-1;Brecha-2;Severidad-3;Incidencia-1;Brecha-2;Severidad-3;Incidencia-1;Brecha-2;Severidad-3;Incidencia-1;Brecha-2;Severidad-3
Marzo;2008;10,5;3,3;1,8;22,1;6,4;2,9;11,7;3,7;1,9;20,8;6,4;2,8;21,2;6,4;3,1
Marzo;2009;11,2;3,7;2;24,3;7,5;3,3;10,9;3,3;1,5;20,8;6,3;2,9;17,6;5,8;3
Marzo;2010;13;4,3;2,3;20,8;5,8;2,4;13,8;3,8;1,6;15,5;4,2;1,8;11,6;3,5;1,5
Marzo;2011;10,3;3,3;1,8;19,2;5;2;12,4;4,1;2,2;14,8;4,1;1,6;10,6;2,7;1
Marzo;2012;9;3,3;1,6;11;2,8;1;9,7;2,9;1,3;9,5;1,9;0,6;8;2;0,8
Marzo;2013;10,9;3,5;1,6;12,8;3,6;1,6;9,2;2,5;1;12;2,5;0,8;10,5;3,7;2
Marzo;2014;8,9;2,8;1,4;11,7;3,1;1,2;4,7;1,7;0,9;13,7;3,8;1,5;12,8;3,2;1,3
Marzo;2015;7,9;2,6;1,3;7,7;1,8;0,7;5,3;1,2;0,5;15,1;4,2;1,8;8,4;2,9;1,2
Marzo;2016;8;2,6;1,3;8,7;2,5;1;7,8;2,6;1,2;13,8;3,9;1,8;7,8;2,5;1,2
Marzo;2017;7,4;2,4;1,2;11;2,7;1,1;7,9;2,9;1,5;16,8;4,5;2;9,7;3,1;1,6
Junio ;2007;11,1;3,6;1,8;18,9;3,4;3,1;12,8;4,7;2,5;22,8;7,5;3,8;14,2;4,6;2,3
Junio ;2008;8,5;2,3;0,9;11;5,4;2,3;7,9;2,8;1,4;19,6;4,7;1,9;14,8;4,8;2,2
Junio ;2009;10,9;3,7;1,8;17,3;5;2,2;11,2;3,4;1,5;20,1;5,8;2,5;13,3;3,7;1,5
Junio ;2010;13,8;4,4;2,2;21,8;6,9;3,1;10,7;3,6;1,8;17,3;6,4;3,1;13,6;4,1;1,9
Junio ;2011;9;2,7;1,2;15,6;4;1,6;11,8;3,2;1,5;11,8;3,7;1,6;12,8;3,4;1,6
Junio ;2012;7,9;2,5;1,2;10;2,3;0,8;7,1;1,9;0,7;10,4;2,1;0,7;10,9;2,8;1,2
Junio ;2013;8,4;2,3;1,2;13,8;3,7;1,6;6;2;0,9;12;3,7;1,7;10,5;3,7;1,8
Junio ;2014;7,3;2,2;1;12,6;2,9;1,1;5,9;1,3;0,5;14,2;3,8;1,5;7,9;2,5;1,2
Junio ;2015;6,2;1,8;0,8;9,7;2,3;0,8;5,6;1,3;0,5;9,9;2,6;1,1;7,9;2,3;1
Junio ;2016;7,9;2,2;1;8,5;2,2;0,9;7,6;2;0,7;10,1;2,5;1;9,8;3,4;1,6
Junio ;2017;7,8;2,2;1;10,5;2,5;1;7,8;2,1;0,9;14,4;3,6;1,3;10,2;3,6;1,8
Septiembre ;2007;10;3,2;1,6;18,6;5,4;2,3;13,2;4,2;1,9;22,8;7,5;3,6;15,1;4,6;2
Septiembre ;2008;8,7;2,5;1;13,8;4,3;1,9;11,1;4;2,1;17,8;4,2;1,5;19,7;5,7;2,6
Septiembre ;2009;13,8;4,4;2,2;18,5;4,9;1,9;11,2;3,9;1,9;19,5;6;2,6;14,4;4,2;1,8
Septiembre ;2010;11,5;4;2,2;18,3;4,6;1,7;9,4;2,5;1,1;17,3;5,4;2,3;14,6;4;1,9
Septiembre ;2011;9,6;3,2;1,6;11,1;2,6;1;8;2,4;1;11,8;2,9;1;8,9;2,6;1,1
Septiembre ;2012;6,3;1,5;0,6;12,5;3,9;1,9;7,7;2,1;0,8;10,4;1,9;0,6;5,8;2;0,9
Septiembre ;2013;9,8;3,2;1,6;13,2;3,5;1,3;4,2;0,9;0,3;12;2,9;1,2;10,5;3,7;2
Septiembre ;2014;7,1;2,2;1,1;11,2;2,6;1,1;5;1,5;0,7;12,9;3,1;1,3;8,5;2,8;1,4
